path	size_bytes	mtime_unix_s
job.log	43048	1788167350.931294
preflight.json	1440	1788166781.946494
binary_dvfs/xpyd_binary_dvfs_255346/binary_dvfs_audit.json	1010	1788167287.709316
binary_dvfs/xpyd_binary_dvfs_255346/binary_search_decisions.csv	388	1788167287.703316
binary_dvfs/xpyd_binary_dvfs_255346/frequency_grids.json	681	1788167223.545338
binary_dvfs/xpyd_binary_dvfs_255346/selected_frequencies.json	3	1788167287.707316
binary_dvfs/xpyd_binary_dvfs_255346/window_results.csv	2	1788167287.701316
binary_dvfs/xpyd_binary_dvfs_255346/raw/actuator_actions.csv	867	1788167287.705316
binary_dvfs/xpyd_binary_dvfs_255346/raw/capabilities.json	7805	1788167223.542338
binary_dvfs/xpyd_binary_dvfs_255346/raw/windows/001-global_warmup-warmup-r01/failure.json	197	1788167286.440316
binary_dvfs/xpyd_binary_dvfs_255346/raw/windows/001-global_warmup-warmup-r01/metadata.json	2208	1788167227.322336
binary_dvfs/xpyd_binary_dvfs_255346/raw/windows/001-global_warmup-warmup-r01/D0/capability.json	903	1788167227.555336
binary_dvfs/xpyd_binary_dvfs_255346/raw/windows/001-global_warmup-warmup-r01/D0/monitor.log	0	1788167227.334336
binary_dvfs/xpyd_binary_dvfs_255346/raw/windows/001-global_warmup-warmup-r01/D0/samples.jsonl	319612	1788167286.355316
binary_dvfs/xpyd_binary_dvfs_255346/raw/windows/001-global_warmup-warmup-r01/D0/stop.requested	5	1788167286.333316
binary_dvfs/xpyd_binary_dvfs_255346/raw/windows/001-global_warmup-warmup-r01/D0/raw_metrics/000001_before.prom	85838	1788167258.506326
binary_dvfs/xpyd_binary_dvfs_255346/raw/windows/001-global_warmup-warmup-r01/D0/raw_metrics/000002_periodic.prom	85837	1788167258.756325
binary_dvfs/xpyd_binary_dvfs_255346/raw/windows/001-global_warmup-warmup-r01/D0/raw_metrics/000003_periodic.prom	85838	1788167259.761325
binary_dvfs/xpyd_binary_dvfs_255346/raw/windows/001-global_warmup-warmup-r01/D0/raw_metrics/000004_periodic.prom	85838	1788167260.758325
binary_dvfs/xpyd_binary_dvfs_255346/raw/windows/001-global_warmup-warmup-r01/D0/raw_metrics/000005_periodic.prom	85838	1788167261.688325
binary_dvfs/xpyd_binary_dvfs_255346/raw/windows/001-global_warmup-warmup-r01/D0/raw_metrics/000006_periodic.prom	85838	1788167262.740324
binary_dvfs/xpyd_binary_dvfs_255346/raw/windows/001-global_warmup-warmup-r01/D0/raw_metrics/000007_periodic.prom	85838	1788167263.760324
binary_dvfs/xpyd_binary_dvfs_255346/raw/windows/001-global_warmup-warmup-r01/D0/raw_metrics/000008_periodic.prom	85837	1788167264.717324
binary_dvfs/xpyd_binary_dvfs_255346/raw/windows/001-global_warmup-warmup-r01/D0/raw_metrics/000009_periodic.prom	85851	1788167265.728323
binary_dvfs/xpyd_binary_dvfs_255346/raw/windows/001-global_warmup-warmup-r01/D0/raw_metrics/000010_periodic.prom	85851	1788167266.742323
binary_dvfs/xpyd_binary_dvfs_255346/raw/windows/001-global_warmup-warmup-r01/D0/raw_metrics/000011_periodic.prom	85909	1788167267.703323
binary_dvfs/xpyd_binary_dvfs_255346/raw/windows/001-global_warmup-warmup-r01/D0/raw_metrics/000012_periodic.prom	88019	1788167268.783322
binary_dvfs/xpyd_binary_dvfs_255346/raw/windows/001-global_warmup-warmup-r01/D0/raw_metrics/000013_periodic.prom	88021	1788167269.768322
binary_dvfs/xpyd_binary_dvfs_255346/raw/windows/001-global_warmup-warmup-r01/D0/raw_metrics/000014_periodic.prom	88034	1788167270.770322
binary_dvfs/xpyd_binary_dvfs_255346/raw/windows/001-global_warmup-warmup-r01/D0/raw_metrics/000015_periodic.prom	87999	1788167271.750321
binary_dvfs/xpyd_binary_dvfs_255346/raw/windows/001-global_warmup-warmup-r01/D0/raw_metrics/000016_periodic.prom	87999	1788167272.755321
binary_dvfs/xpyd_binary_dvfs_255346/raw/windows/001-global_warmup-warmup-r01/D0/raw_metrics/000017_periodic.prom	88011	1788167273.754321
binary_dvfs/xpyd_binary_dvfs_255346/raw/windows/001-global_warmup-warmup-r01/D0/raw_metrics/000018_periodic.prom	88036	1788167274.778320
binary_dvfs/xpyd_binary_dvfs_255346/raw/windows/001-global_warmup-warmup-r01/D0/raw_metrics/000019_periodic.prom	88056	1788167275.780320
binary_dvfs/xpyd_binary_dvfs_255346/raw/windows/001-global_warmup-warmup-r01/D1/capability.json	903	1788167227.554336
binary_dvfs/xpyd_binary_dvfs_255346/raw/windows/001-global_warmup-warmup-r01/D1/monitor.log	0	1788167227.336336
binary_dvfs/xpyd_binary_dvfs_255346/raw/windows/001-global_warmup-warmup-r01/D1/samples.jsonl	319832	1788167286.355316
binary_dvfs/xpyd_binary_dvfs_255346/raw/windows/001-global_warmup-warmup-r01/D1/stop.requested	5	1788167286.335316
binary_dvfs/xpyd_binary_dvfs_255346/raw/windows/001-global_warmup-warmup-r01/D1/raw_metrics/000001_before.prom	85846	1788167258.592326
binary_dvfs/xpyd_binary_dvfs_255346/raw/windows/001-global_warmup-warmup-r01/D1/raw_metrics/000002_periodic.prom	85846	1788167258.732326
binary_dvfs/xpyd_binary_dvfs_255346/raw/windows/001-global_warmup-warmup-r01/D1/raw_metrics/000003_periodic.prom	85846	1788167259.764325
binary_dvfs/xpyd_binary_dvfs_255346/raw/windows/001-global_warmup-warmup-r01/D1/raw_metrics/000004_periodic.prom	85846	1788167260.678325
binary_dvfs/xpyd_binary_dvfs_255346/raw/windows/001-global_warmup-warmup-r01/D1/raw_metrics/000005_periodic.prom	85845	1788167261.729325
binary_dvfs/xpyd_binary_dvfs_255346/raw/windows/001-global_warmup-warmup-r01/D1/raw_metrics/000006_periodic.prom	85846	1788167262.751324
binary_dvfs/xpyd_binary_dvfs_255346/raw/windows/001-global_warmup-warmup-r01/D1/raw_metrics/000007_periodic.prom	85846	1788167263.764324
binary_dvfs/xpyd_binary_dvfs_255346/raw/windows/001-global_warmup-warmup-r01/D1/raw_metrics/000008_periodic.prom	85846	1788167264.740324
binary_dvfs/xpyd_binary_dvfs_255346/raw/windows/001-global_warmup-warmup-r01/D1/raw_metrics/000009_periodic.prom	85846	1788167265.757323
binary_dvfs/xpyd_binary_dvfs_255346/raw/windows/001-global_warmup-warmup-r01/D1/raw_metrics/000010_periodic.prom	85846	1788167266.752323
binary_dvfs/xpyd_binary_dvfs_255346/raw/windows/001-global_warmup-warmup-r01/D1/raw_metrics/000011_periodic.prom	85901	1788167267.761322
binary_dvfs/xpyd_binary_dvfs_255346/raw/windows/001-global_warmup-warmup-r01/D1/raw_metrics/000012_periodic.prom	88025	1788167268.757322
binary_dvfs/xpyd_binary_dvfs_255346/raw/windows/001-global_warmup-warmup-r01/D1/raw_metrics/000013_periodic.prom	88024	1788167269.772322
binary_dvfs/xpyd_binary_dvfs_255346/raw/windows/001-global_warmup-warmup-r01/D1/raw_metrics/000014_periodic.prom	88038	1788167270.775321
binary_dvfs/xpyd_binary_dvfs_255346/raw/windows/001-global_warmup-warmup-r01/D1/raw_metrics/000015_periodic.prom	88006	1788167271.700321
binary_dvfs/xpyd_binary_dvfs_255346/raw/windows/001-global_warmup-warmup-r01/D1/raw_metrics/000016_periodic.prom	88000	1788167272.759321
binary_dvfs/xpyd_binary_dvfs_255346/raw/windows/001-global_warmup-warmup-r01/D1/raw_metrics/000017_periodic.prom	87998	1788167273.745321
binary_dvfs/xpyd_binary_dvfs_255346/raw/windows/001-global_warmup-warmup-r01/D1/raw_metrics/000018_periodic.prom	88039	1788167274.782320
binary_dvfs/xpyd_binary_dvfs_255346/raw/windows/001-global_warmup-warmup-r01/D1/raw_metrics/000019_periodic.prom	88059	1788167275.760320
binary_dvfs/xpyd_binary_dvfs_255346/raw/windows/001-global_warmup-warmup-r01/P0/capability.json	906	1788167228.033336
binary_dvfs/xpyd_binary_dvfs_255346/raw/windows/001-global_warmup-warmup-r01/P0/monitor.log	132	1788167229.763335
binary_dvfs/xpyd_binary_dvfs_255346/raw/windows/001-global_warmup-warmup-r01/P0/samples.jsonl	318919	1788167286.343316
binary_dvfs/xpyd_binary_dvfs_255346/raw/windows/001-global_warmup-warmup-r01/P0/stop.requested	5	1788167286.328316
binary_dvfs/xpyd_binary_dvfs_255346/raw/windows/001-global_warmup-warmup-r01/P0/raw_metrics/000001_before.prom	85842	1788167258.598326
binary_dvfs/xpyd_binary_dvfs_255346/raw/windows/001-global_warmup-warmup-r01/P0/raw_metrics/000002_periodic.prom	85855	1788167258.760326
binary_dvfs/xpyd_binary_dvfs_255346/raw/windows/001-global_warmup-warmup-r01/P0/raw_metrics/000003_periodic.prom	85842	1788167259.768325
binary_dvfs/xpyd_binary_dvfs_255346/raw/windows/001-global_warmup-warmup-r01/P0/raw_metrics/000004_periodic.prom	85842	1788167260.750325
binary_dvfs/xpyd_binary_dvfs_255346/raw/windows/001-global_warmup-warmup-r01/P0/raw_metrics/000005_periodic.prom	85855	1788167261.732325
binary_dvfs/xpyd_binary_dvfs_255346/raw/windows/001-global_warmup-warmup-r01/P0/raw_metrics/000006_periodic.prom	85842	1788167262.671324
binary_dvfs/xpyd_binary_dvfs_255346/raw/windows/001-global_warmup-warmup-r01/P0/raw_metrics/000007_periodic.prom	85842	1788167263.749324
binary_dvfs/xpyd_binary_dvfs_255346/raw/windows/001-global_warmup-warmup-r01/P0/raw_metrics/000008_periodic.prom	85855	1788167264.749324
binary_dvfs/xpyd_binary_dvfs_255346/raw/windows/001-global_warmup-warmup-r01/P0/raw_metrics/000009_periodic.prom	85842	1788167265.760323
binary_dvfs/xpyd_binary_dvfs_255346/raw/windows/001-global_warmup-warmup-r01/P0/raw_metrics/000010_periodic.prom	85842	1788167266.756323
