role,source_file,line_number,log_timestamp,category,request_id,message
combined,/data/users/chjing/Sweep_LLM_Jobs_broker/jobs/20260731-171536-luqia-vllm-calibration-l4-ganymede-r3/calibration_results/shard_0/full_observability/phase2-full-grid-rerun-20260731-l4-l4-tp1-f2040-i32-o32-r10-rep1-seg1-attempt2/combined_server.log,9,07-31 17:21:17,iteration,,"[0;36m(EngineCore_DP0 pid=2947568)[0;0m INFO 07-31 17:21:17 [core.py:348] Iteration(0): 1 context requests, 32 context tokens, 0 generation requests, 0 generation tokens, iteration elapsed time: 45.68 ms"
combined,/data/users/chjing/Sweep_LLM_Jobs_broker/jobs/20260731-171536-luqia-vllm-calibration-l4-ganymede-r3/calibration_results/shard_0/full_observability/phase2-full-grid-rerun-20260731-l4-l4-tp1-f2040-i32-o32-r10-rep1-seg1-attempt2/combined_server.log,13,07-31 17:21:17,iteration,,"[0;36m(EngineCore_DP0 pid=2947568)[0;0m INFO 07-31 17:21:17 [core.py:348] Iteration(1): 1 context requests, 32 context tokens, 1 generation requests, 1 generation tokens, iteration elapsed time: 57.75 ms"
combined,/data/users/chjing/Sweep_LLM_Jobs_broker/jobs/20260731-171536-luqia-vllm-calibration-l4-ganymede-r3/calibration_results/shard_0/full_observability/phase2-full-grid-rerun-20260731-l4-l4-tp1-f2040-i32-o32-r10-rep1-seg1-attempt2/combined_server.log,14,07-31 17:21:17,iteration,,"[0;36m(EngineCore_DP0 pid=2947568)[0;0m INFO 07-31 17:21:17 [core.py:348] Iteration(2): 0 context requests, 0 context tokens, 2 generation requests, 2 generation tokens, iteration elapsed time: 43.94 ms"
combined,/data/users/chjing/Sweep_LLM_Jobs_broker/jobs/20260731-171536-luqia-vllm-calibration-l4-ganymede-r3/calibration_results/shard_0/full_observability/phase2-full-grid-rerun-20260731-l4-l4-tp1-f2040-i32-o32-r10-rep1-seg1-attempt2/combined_server.log,18,07-31 17:21:17,iteration,,"[0;36m(EngineCore_DP0 pid=2947568)[0;0m INFO 07-31 17:21:17 [core.py:348] Iteration(3): 1 context requests, 32 context tokens, 2 generation requests, 2 generation tokens, iteration elapsed time: 57.45 ms"
combined,/data/users/chjing/Sweep_LLM_Jobs_broker/jobs/20260731-171536-luqia-vllm-calibration-l4-ganymede-r3/calibration_results/shard_0/full_observability/phase2-full-grid-rerun-20260731-l4-l4-tp1-f2040-i32-o32-r10-rep1-seg1-attempt2/combined_server.log,22,07-31 17:21:17,iteration,,"[0;36m(EngineCore_DP0 pid=2947568)[0;0m INFO 07-31 17:21:17 [core.py:348] Iteration(4): 0 context requests, 0 context tokens, 3 generation requests, 3 generation tokens, iteration elapsed time: 44.77 ms"
combined,/data/users/chjing/Sweep_LLM_Jobs_broker/jobs/20260731-171536-luqia-vllm-calibration-l4-ganymede-r3/calibration_results/shard_0/full_observability/phase2-full-grid-rerun-20260731-l4-l4-tp1-f2040-i32-o32-r10-rep1-seg1-attempt2/combined_server.log,24,07-31 17:21:17,iteration,,"[0;36m(EngineCore_DP0 pid=2947568)[0;0m INFO 07-31 17:21:17 [core.py:348] Iteration(5): 1 context requests, 32 context tokens, 3 generation requests, 3 generation tokens, iteration elapsed time: 49.41 ms"
combined,/data/users/chjing/Sweep_LLM_Jobs_broker/jobs/20260731-171536-luqia-vllm-calibration-l4-ganymede-r3/calibration_results/shard_0/full_observability/phase2-full-grid-rerun-20260731-l4-l4-tp1-f2040-i32-o32-r10-rep1-seg1-attempt2/combined_server.log,28,07-31 17:21:17,iteration,,"[0;36m(EngineCore_DP0 pid=2947568)[0;0m INFO 07-31 17:21:17 [core.py:348] Iteration(6): 1 context requests, 32 context tokens, 4 generation requests, 4 generation tokens, iteration elapsed time: 57.10 ms"
combined,/data/users/chjing/Sweep_LLM_Jobs_broker/jobs/20260731-171536-luqia-vllm-calibration-l4-ganymede-r3/calibration_results/shard_0/full_observability/phase2-full-grid-rerun-20260731-l4-l4-tp1-f2040-i32-o32-r10-rep1-seg1-attempt2/combined_server.log,32,07-31 17:21:17,iteration,,"[0;36m(EngineCore_DP0 pid=2947568)[0;0m INFO 07-31 17:21:17 [core.py:348] Iteration(7): 0 context requests, 0 context tokens, 5 generation requests, 5 generation tokens, iteration elapsed time: 43.55 ms"
combined,/data/users/chjing/Sweep_LLM_Jobs_broker/jobs/20260731-171536-luqia-vllm-calibration-l4-ganymede-r3/calibration_results/shard_0/full_observability/phase2-full-grid-rerun-20260731-l4-l4-tp1-f2040-i32-o32-r10-rep1-seg1-attempt2/combined_server.log,33,07-31 17:21:17,iteration,,"[0;36m(EngineCore_DP0 pid=2947568)[0;0m INFO 07-31 17:21:17 [core.py:348] Iteration(8): 1 context requests, 32 context tokens, 5 generation requests, 5 generation tokens, iteration elapsed time: 49.97 ms"
combined,/data/users/chjing/Sweep_LLM_Jobs_broker/jobs/20260731-171536-luqia-vllm-calibration-l4-ganymede-r3/calibration_results/shard_0/full_observability/phase2-full-grid-rerun-20260731-l4-l4-tp1-f2040-i32-o32-r10-rep1-seg1-attempt2/combined_server.log,37,07-31 17:21:17,iteration,,"[0;36m(EngineCore_DP0 pid=2947568)[0;0m INFO 07-31 17:21:17 [core.py:348] Iteration(9): 1 context requests, 32 context tokens, 6 generation requests, 6 generation tokens, iteration elapsed time: 57.62 ms"
