phase,gpu_type,tp,freq_mhz,input_len,output_len,request_rate
prefill,l40s,1,2520,1024,1,1
decode,l40s,1,1500,1024,256,1
decode,l40s,1,1500,1024,1024,1
decode,l40s,1,2520,1024,256,1
decode,l40s,1,2520,1024,1024,1
prefill,l4,2,2040,1024,1,1
prefill,l4,4,2040,1024,1,1
decode,l4,2,1410,1024,256,1
decode,l4,2,1410,1024,1024,1
decode,l4,2,2040,1024,256,1
decode,l4,2,2040,1024,1024,1
decode,l4,4,1410,1024,256,1
decode,l4,4,1410,1024,1024,1
decode,l4,4,2040,1024,256,1
decode,l4,4,2040,1024,1024,1
