proxy_start hostname=ganymede http=0.0.0.0:30327 registry=0.0.0.0:31327
registry_add role=decode http=10.1.0.3:33327 zmq=10.1.0.3:34327
registry_add role=prefill http=10.1.0.6:32327 zmq=10.1.0.6:34327
route count=0 client_request_id=baseline_short-00000-21625f3ea815 internal_request_id=___prefill_addr_10.1.0.6:34327___decode_addr_10.1.0.3:34327_baseline_short-00000-21625f3ea815_0b4374fc0ff04a5f8df40523fbb6939e prefill_http=10.1.0.6:32327 decode_http=10.1.0.3:33327
route count=1 client_request_id=baseline_short-00001-55c49c43cc27 internal_request_id=___prefill_addr_10.1.0.6:34327___decode_addr_10.1.0.3:34327_baseline_short-00001-55c49c43cc27_be75ef140ee24a1390b4c8692595af61 prefill_http=10.1.0.6:32327 decode_http=10.1.0.3:33327
route count=2 client_request_id=baseline_short-00002-f58ddc05efc7 internal_request_id=___prefill_addr_10.1.0.6:34327___decode_addr_10.1.0.3:34327_baseline_short-00002-f58ddc05efc7_bb7cf9cee5e94b99a5f7c188db0c47ea prefill_http=10.1.0.6:32327 decode_http=10.1.0.3:33327
route count=3 client_request_id=baseline_short-00003-1267b44f1d37 internal_request_id=___prefill_addr_10.1.0.6:34327___decode_addr_10.1.0.3:34327_baseline_short-00003-1267b44f1d37_428543edd6bf487ca44764fb3518656f prefill_http=10.1.0.6:32327 decode_http=10.1.0.3:33327
route count=4 client_request_id=baseline_short-00004-f809f4d91c81 internal_request_id=___prefill_addr_10.1.0.6:34327___decode_addr_10.1.0.3:34327_baseline_short-00004-f809f4d91c81_b503d329c5a74c24b499888f7e686a64 prefill_http=10.1.0.6:32327 decode_http=10.1.0.3:33327
route count=5 client_request_id=baseline_short-00005-7c6bf07db1ec internal_request_id=___prefill_addr_10.1.0.6:34327___decode_addr_10.1.0.3:34327_baseline_short-00005-7c6bf07db1ec_2b6b01997f18496faff722a8d8c5d5f4 prefill_http=10.1.0.6:32327 decode_http=10.1.0.3:33327
route count=6 client_request_id=baseline_short-00006-ce8b38c10d4d internal_request_id=___prefill_addr_10.1.0.6:34327___decode_addr_10.1.0.3:34327_baseline_short-00006-ce8b38c10d4d_07dc92e515244304b3eeca89415bf69c prefill_http=10.1.0.6:32327 decode_http=10.1.0.3:33327
route count=7 client_request_id=baseline_short-00007-1ae627f6b0e7 internal_request_id=___prefill_addr_10.1.0.6:34327___decode_addr_10.1.0.3:34327_baseline_short-00007-1ae627f6b0e7_07aa527b96b64181b5ef504937fedc71 prefill_http=10.1.0.6:32327 decode_http=10.1.0.3:33327
route count=8 client_request_id=baseline_short-00008-b08823fe485b internal_request_id=___prefill_addr_10.1.0.6:34327___decode_addr_10.1.0.3:34327_baseline_short-00008-b08823fe485b_06cdc69434ef45b2956e3ee7763f4cd4 prefill_http=10.1.0.6:32327 decode_http=10.1.0.3:33327
route count=9 client_request_id=baseline_short-00009-62d6293301f7 internal_request_id=___prefill_addr_10.1.0.6:34327___decode_addr_10.1.0.3:34327_baseline_short-00009-62d6293301f7_6fc6f347c91444bfbed3c15c75df5dee prefill_http=10.1.0.6:32327 decode_http=10.1.0.3:33327
route count=10 client_request_id=baseline_short-00010-07560a283786 internal_request_id=___prefill_addr_10.1.0.6:34327___decode_addr_10.1.0.3:34327_baseline_short-00010-07560a283786_4d23f733052f498fae125bfd5933a974 prefill_http=10.1.0.6:32327 decode_http=10.1.0.3:33327
