window_id,scope,role,gross_energy_j,logical_requests,output_tokens,joules_per_request,joules_per_output_token,valid
light_before,D0,decode,1340.076,4,512,335.019,2.6173359375,True
light_before,D1,decode,1324.222,4,512,331.0555,2.58637109375,True
light_before,P0,prefill,2388.238,4,512,597.0595,4.66452734375,True
light_before,P1,prefill,2403.948,4,512,600.987,4.6952109375,True
light_before,P_pool,prefill,4792.186,4,512,1198.0465,9.35973828125,True
light_before,D_pool,decode,2664.298,4,512,666.0745,5.20370703125,True
light_before,all_GPU_boards,all,7456.4839999999995,4,512,1864.1209999999999,14.563445312499999,True
moderate,D0,decode,2859.031,8,2048,357.378875,1.39601123046875,True
moderate,D1,decode,8237.023,8,2048,1029.627875,4.02198388671875,True
moderate,P0,prefill,9959.813,8,2048,1244.976625,4.86318994140625,True
moderate,P1,prefill,7918.662,8,2048,989.83275,3.8665341796875,True
moderate,P_pool,prefill,17878.475,8,2048,2234.809375,8.72972412109375,True
moderate,D_pool,decode,11096.054,8,2048,1387.00675,5.4179951171875,True
moderate,all_GPU_boards,all,28974.529,8,2048,3621.816125,14.14771923828125,True
light_after,D0,decode,1309.232,4,512,327.308,2.55709375,True
light_after,D1,decode,1330.948,4,512,332.737,2.5995078125,True
light_after,P0,prefill,2275.326,4,512,568.8315,4.44399609375,True
light_after,P1,prefill,2305.293,4,512,576.32325,4.502525390625,True
light_after,P_pool,prefill,4580.619000000001,4,512,1145.1547500000001,8.946521484375001,True
light_after,D_pool,decode,2640.1800000000003,4,512,660.0450000000001,5.156601562500001,True
light_after,all_GPU_boards,all,7220.799000000001,4,512,1805.1997500000002,14.103123046875002,True
