arrival_time_s,input_len,output_len
0.1746,512,32
0.2545,512,32
0.2578,2048,32
0.4006,5120,1024
0.4234,2048,128
0.5046,128,128
0.5352,2048,32
0.7415,128,32
0.7855,2048,512
0.9269,512,32
0.9971,3072,512
1.0346,512,32
1.2532,512,32
1.4269,4096,512
1.5052,2048,512
1.5504,3072,128
1.6699,512,32
1.7537,512,32
1.9200,2048,512
2.0042,512,32
2.0359,2048,32
2.1540,2048,32
2.4005,2048,32
2.6708,1024,32
2.7573,512,32
2.7849,512,128
2.7880,2048,512
2.9208,128,32
2.9235,512,128
3.1501,512,32
3.2542,512,32
3.2877,2048,32
3.4624,512,32
3.5373,512,32
3.6688,5120,1024
3.7511,7168,32
3.7842,3072,128
3.9991,2048,32
4.0338,5120,32
4.0639,2048,32
4.1709,5120,512
4.2532,512,32
4.2857,512,32
4.6362,2048,32
4.7957,5120,32
5.0067,512,32
5.2042,1024,32
5.5029,2048,32
5.5075,3072,512
5.6518,512,32
5.7583,3072,32
5.8980,512,32
5.9191,4096,32
5.9963,512,32
6.0165,1024,32
6.0386,1024,32
6.1523,7168,512
6.2491,512,32
6.5053,512,128
6.6529,1024,32
6.9001,2048,512
7.0009,5120,1024
7.1487,512,32
7.3963,512,32
7.4018,512,32
7.4956,512,32
7.6488,3072,512
7.7817,1024,128
8.0344,3072,512
8.2474,1024,32
8.2853,3072,128
8.2884,3072,32
8.4542,3072,512
8.4978,2048,32
8.6516,512,32
8.6640,1024,32
8.7457,1024,32
8.9010,7168,32
8.9953,2048,32
9.0373,512,32
9.1659,512,32
9.5329,5120,512
9.6516,5120,128
9.7058,512,32
9.7451,4096,32
9.7855,4096,32
9.7893,2048,32
9.9025,2048,512
9.9988,3072,512
10.0390,512,32
10.1506,512,32
10.2874,5120,32
10.4167,2048,32
10.4956,2048,512
10.7449,2048,512
10.7472,2048,512
10.9142,1024,32
10.9936,128,32
11.2425,3072,512
11.2463,512,32
11.3978,2048,128
11.4933,128,128
11.5015,4096,128
11.5349,512,32
11.7495,512,32
11.9974,2048,32
11.9982,4096,32
12.2454,512,32
12.4013,512,128
12.5366,5120,512
12.6542,512,32
12.6650,128,32
12.9001,32,32
12.9935,512,32
13.1637,128,128
13.2436,512,32
13.2958,4096,128
13.3986,128,32
13.6510,512,32
13.7490,2048,512
13.8999,32,32
13.9961,512,32
14.1542,3072,512
14.2837,512,32
14.4174,1024,32
14.5902,6144,512
14.6082,6144,512
14.7467,1024,32
14.7469,128,32
14.8928,6144,512
14.9956,5120,128
14.9986,512,32
15.2435,512,32
15.2467,512,32
15.2998,4096,32
15.3999,512,32
15.5064,3072,32
15.5457,2048,32
15.6482,1024,128
15.7483,3072,32
15.8981,512,32
15.9963,512,32
15.9997,4096,128
16.0451,512,32
16.1559,3072,32
16.2448,2048,128
16.3952,512,32
16.5022,512,32
16.5477,512,32
16.6707,1024,32
16.7489,512,32
16.7554,512,32
16.9060,512,32
17.0017,512,128
17.0430,5120,512
17.1433,512,32
17.2954,512,128
17.4111,512,32
17.6562,3072,32
17.7484,3072,512
17.8928,512,32
17.9991,512,32
18.0433,512,32
18.2518,4096,128
18.4085,512,32
18.5430,128,32
18.6574,2048,32
18.7546,512,32
18.8932,2048,512
18.9054,512,32
18.9957,512,32
19.2495,512,32
19.2935,512,32
19.4960,6144,32
19.6567,3072,512
19.6602,2048,512
19.7445,2048,32
19.7513,512,32
19.9078,512,32
19.9982,512,32
20.1570,1024,32
20.2420,3072,32
20.5388,32,32
20.5410,128,32
20.8956,3072,512
21.0421,512,32
21.3916,128,32
21.5036,3072,512
21.6424,512,32
21.6459,512,32
21.6551,6144,32
21.7566,128,32
21.7941,3072,512
21.8951,128,32
22.2001,512,32
22.2489,512,32
22.4969,512,32
22.6281,3072,32
22.6784,2048,32
22.7438,2048,32
22.9064,3072,32
22.9926,512,32
23.0448,512,32
23.3095,128,32
23.4102,2048,32
23.6563,512,32
23.7488,128,32
23.9100,2048,32
23.9922,1024,32
24.0440,512,32
24.1420,2048,32
24.2526,2048,512
24.4113,512,32
24.6546,1024,32
24.9198,512,32
24.9977,512,32
25.0477,512,32
25.2465,3072,128
25.3933,512,32
25.3967,2048,32
25.6590,512,32
25.6684,512,32
25.9953,2048,512
26.0422,3072,128
26.1427,2048,512
26.2583,512,32
26.2609,4096,512
26.4002,3072,128
26.4216,512,32
26.5021,1024,32
26.5657,4096,32
26.5732,512,32
26.6571,1024,32
26.6598,512,32
26.9062,3072,32
26.9950,128,32
27.0407,2048,512
27.1577,128,128
27.3948,512,32
27.4957,2048,512
27.5650,1024,32
27.6551,5120,32
27.8951,2048,32
28.0000,1024,512
28.0005,2048,32
28.2489,512,32
28.2889,2048,32
28.4983,2048,32
28.5060,2048,512
28.7464,512,32
28.8932,512,32
28.9180,2048,32
29.0418,2048,128
29.1421,512,32
29.2501,3072,512
29.2920,512,32
29.4982,3072,128
29.5473,1024,32
29.7531,2048,32
29.7698,2048,512
29.7870,512,32
29.9985,512,32
30.0346,512,128
30.1545,512,32
30.1563,2048,32
30.1664,512,32
30.2831,512,128
30.3968,512,32
30.5051,1024,32
