workload_id,scope,role,window_start_unix_s,window_end_unix_s,duration_s,gross_energy_j,mean_power_w,logical_requests,input_tokens,output_tokens,joules_per_request,joules_per_output_token,valid,prefill_frequency_mhz,decode_frequency_mhz,ttft_p90_ms,tpot_p90_ms
small_light,P1,prefill,1788373800.4307961,1788374957.5810015,1157.150205373764,71292.353,62.29760933448575,48,6144,3072,1485.2573541666668,23.20714615885417,True,,,,
small_light,D1,decode,1788373800.4307961,1788374957.5810015,1157.150205373764,30217.021,26.216003629450153,48,6144,3072,629.5212708333333,9.836269856770834,True,,,,
small_light,service_PD_pair,all,1788373800.4307961,1788374957.5810015,1157.150205373764,101509.37400000001,87.7235932972177,48,6144,3072,2114.7786250000004,33.043416015625006,True,900,720,210.0383717683144,57.164339936478804
prefill_medium,P1,prefill,1788374989.8614326,1788376157.8038888,1167.9424562454224,72803.689,62.89266592465757,48,49152,3072,1516.7435208333334,23.699117513020834,True,,,,
prefill_medium,D1,decode,1788374989.8614326,1788376157.8038888,1167.9424562454224,30916.255,26.552856506850134,48,49152,3072,644.0886458333333,10.063885091145833,True,,,,
prefill_medium,service_PD_pair,all,1788374989.8614326,1788376157.8038888,1167.9424562454224,103719.944,88.8056971003759,48,49152,3072,2160.8321666666666,33.763002604166665,True,900,975,400.35866586258635,58.08613392273112
prefill_heavy,P1,prefill,1788376190.3202548,1788377358.0130193,1167.6927645206451,78204.309,67.47451738311302,48,98304,3072,1629.2564375,25.4571318359375,True,,,,
prefill_heavy,D1,decode,1788376190.3202548,1788377358.0130193,1167.6927645206451,31027.767,26.704614146259086,48,98304,3072,646.4118125,10.1001845703125,True,,,,
prefill_heavy,service_PD_pair,all,1788376190.3202548,1788377358.0130193,1167.6927645206451,109232.076,93.54521952942079,48,98304,3072,2275.66825,35.55731640625,True,1980,975,477.09670865442604,59.80105313198966
decode_medium,P1,prefill,1788377390.2874875,1788378561.1567278,1170.869240283966,71884.308,62.01995029039905,48,6144,6144,1497.58975,11.699919921875,True,,,,
decode_medium,D1,decode,1788377390.2874875,1788378561.1567278,1170.869240283966,37627.109,32.203154227155366,48,6144,6144,783.8981041666666,6.124203938802083,True,,,,
decode_medium,service_PD_pair,all,1788377390.2874875,1788378561.1567278,1170.869240283966,109511.417,93.5300144817543,48,6144,6144,2281.4878541666667,17.824123860677084,True,900,975,204.48303655721247,56.56224133613644
decode_heavy,P1,prefill,1788378578.7702246,1788379768.4072313,1189.6370067596436,73044.498,62.01461405278117,48,6144,12288,1521.760375,5.94437646484375,True,,,,
decode_heavy,D1,decode,1788378578.7702246,1788379768.4072313,1189.6370067596436,51961.076,43.78048419636831,48,6144,12288,1082.5224166666667,4.228603190104167,True,,,,
decode_heavy,service_PD_pair,all,1788378578.7702246,1788379768.4072313,1189.6370067596436,125005.57400000001,105.07875367839524,48,6144,12288,2604.282791666667,10.172979654947918,True,900,975,205.47888161381707,56.6814540843388
balanced_medium,P1,prefill,1788379778.7628286,1788380961.286897,1182.5240683555603,72931.77,62.34548469473952,48,24576,6144,1519.411875,11.8704052734375,True,,,,
balanced_medium,D1,decode,1788379778.7628286,1788380961.286897,1182.5240683555603,38074.064,32.25818031123081,48,24576,6144,793.2096666666666,6.196950520833333,True,,,,
balanced_medium,service_PD_pair,all,1788379778.7628286,1788380961.286897,1182.5240683555603,111005.834,93.87194474135885,48,24576,6144,2312.621541666667,18.067355794270835,True,900,975,252.38168630748987,57.225305068684285
